Name,Nationality,Years,Link
"Zuccarello, Anthony",American, active c. 1935,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=8237
"Zuccari, Federico",Italian, 1542/1543 - 1609,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=2812
"Zuccari, Taddeo",Italian, 1529 - 1566,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=2813
"Zuccaro, Federico",Italian, 1542/1543 - 1609,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=2812
"Zuccaro, Federigo",Italian, 1542/1543 - 1609,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=2812
"Zuccaro, Taddeo",Italian, 1529 - 1566,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=2813
"Zucchi, Andrea",Italian, 1679 - 1740,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=3468
"Zucchi, Antonio",Italian, 1726 - 1795,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=6040
"Zucchi, Francesco",Italian, 1692 - 1764,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=3469
"Zucchi, Giuseppe Carlo",Italian, 18th century,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=20911
"Zucchi, Jacopo",Italian, c. 1541 - c. 1590,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=5578
"Zucchi, Lorenzo",Italian, 1704 - 1779,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=3470
"Zuelch, Clarence Edward",American, 1904 - 1973,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=34160
"Zuloaga, Ignacio",Spanish, 1870 - 1945,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=1992
"Zuloaga y Zabaleta, Ignacio",Spanish, 1870 - 1945,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=1992
"Zumwalt, Gail Delaney",American, 1917 - 1976,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=34984
"Zundt, Mathis",German, probably 1498 - 1572,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=3471
"Zupa, Nicholas",American, active c. 1935,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=8238
"Zurbarán, Francisco de",Spanish, 1598 - 1664,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=1993
"Zustris, Friedrich",German, c. 1540 - 1599,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=2767
"Zutman III, Lambert",Flemish, c. 1510 - 1567,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=3472
"Zwiers, Willem",Dutch, born 1922,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=5713
"Zwiers, Wim",Dutch, born 1922,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=5713
"Zwysen, Henry",American, active c. 1935,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=8239
"Zykmund, Václav",Czech, 1914 - 1985,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=24614
